id,date,city,state,type,ideology,subideology,group,description,image
18172,12/31/2020,Columbia,SC,White Supremacist Propaganda,Right Wing (White Supremacist),,Patriot Front,"Patriot Front, an alt right group, distributed propaganda at Columbia College that read: ""Better dead than red,"" ""Revolution is tradition"" and ""Life of our nation. Liberty of our people. Victory of the American spirit."" Other propaganda resembled a flag and had an embedded QR code directing users to Patriot Front’s website.",https://web.archive.org/web/20220520084048/https://www.adl.org/sites/default/files/2019-11/November%202019_PF%20Life%20of%20our%20nation_sample.jpg
18173,12/31/2020,Delhi,CA,White Supremacist Propaganda,Right Wing (White Supremacist),,Patriot Front,"Patriot Front, an alt right group, distributed propaganda that read: ""Life Liberty Victory,"" ""America is not for sale,"" ""Not stolen conquered"" and ""To ourselves and our posterity.""",https://web.archive.org/web/20220520084048/https://www.adl.org/sites/default/files/2019-03/PF%20logo.jpg
18174,12/31/2020,Denair,CA,White Supremacist Propaganda,Right Wing (White Supremacist),,Patriot Front,"Patriot Front, an alt right group, distributed propaganda that read: ""United we stand"" and ""Life Liberty Victory.""",https://web.archive.org/web/20220520084048/https://www.adl.org/sites/default/files/2019-03/PF%20logo.jpg
18175,12/31/2020,Abington,MA,White Supremacist Propaganda,Right Wing (White Supremacist),,Patriot Front,"Patriot Front, an alt right group, distributed propaganda that read: ""Better dead than red,"" ""Revolution is tradition,"" ""America First"" and ""For the nation against the state.""",https://web.archive.org/web/20220520084048/https://www.adl.org/sites/default/files/2020-11/Patriot%20Front-2020-10-12-WA%2C%20Bremerton-OCT0094.jpg
18176,12/31/2020,Allentown,PA,White Supremacist Propaganda,Right Wing (White Supremacist),,Patriot Front,"Patriot Front, an alt right group, distributed propaganda that read: ""For the nation against the state,"" ""Reclaim America,"" and ""Life of our nation. Liberty of our people. Victory of the American spirit."" Other propaganda read, ""Two parties one tyranny"" and featured an image of an octopus enveloping a map of the United States.",https://web.archive.org/web/20220520084048/https://www.adl.org/sites/default/files/2019-11/November%202019_PF%20Life%20of%20our%20nation_sample.jpg
18177,12/31/2020,Ahwatukee,AZ,White Supremacist Propaganda,Right Wing (White Supremacist),,Patriot Front,"Patriot Front, an alt right group, distributed propaganda that read: ""America First,"" ""For the nation against the state"" and ""Our tradition is revolution.""",https://web.archive.org/web/20220520084048/https://www.adl.org/sites/default/files/2020-11/Patriot%20Front-2020-10-26-OH%2C%20Chillicothe-Telegram-OCT0320.jpg
18178,12/31/2020,Alvord,TX,White Supremacist Propaganda,Right Wing (White Supremacist),,Patriot Front,"Patriot Front, an alt right group, distributed propaganda that read: ""America is not for sale,"" ""Better dead than red"" and ""Not stolen conquered.""",https://web.archive.org/web/20220520084048/https://www.adl.org/sites/default/files/2019-03/PF%20Not%20Stolen%20Conquered.jpg
18179,12/31/2020,Anderson,IN,White Supremacist Propaganda,Right Wing (White Supremacist),,Patriot Front,"Patriot Front, an alt right group, distributed propaganda that read: ""America is not for sale,"" ""For the nation against the state,"" ""America First"" and ""Better dead than red.""",https://web.archive.org/web/20220520084048/https://www.adl.org/sites/default/files/2020-11/Patriot%20Front-2020-10-12-WA%2C%20Bremerton-OCT0094.jpg
18180,12/31/2020,Denver,CO,White Supremacist Propaganda,Right Wing (White Supremacist),,Patriot Front,"Patriot Front, an alt right group, distributed propaganda that read: ""For the nation against the state,"" ""Not stolen conquered"" and ""America is not for sale."" Other propaganda resembled a flag and had an embedded QR code directing users to Patriot Front’s website.",https://web.archive.org/web/20220520084048/https://www.adl.org/sites/default/files/2019-03/PF%20Not%20Stolen%20Conquered.jpg
18181,12/31/2020,Durant,OK,White Supremacist Propaganda,Right Wing (White Supremacist),,Patriot Front,"Patriot Front, an alt right group, distributed propaganda that read: ""Reject poison,"" ""For the nation against the state"" and ""America First.""",https://web.archive.org/web/20220520084048/https://www.adl.org/sites/default/files/2019-11/November%202019_PF%20Reject%20poison_sample.jpg
